"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Golden Knights","VGK","17-18",82,3999.17,52.77,51.6,51.34,51.57,50.67,2.6,2.33,31.55,29.59,43.82,41.53,59.13,55.52,2.38,2.31,0.27,1.95,2.29,3.61,0.06,8.24,92.14
"Jets","WPG","17-18",82,3900.87,54.8,52.24,52.65,52.61,53.56,2.68,2.21,31.95,29.22,44.64,40.15,60.06,54.09,2.48,2.15,0.47,2.74,4.49,5.97,0.33,8.38,92.44
"Capitals","WSH","17-18",82,3952.37,52.74,47.94,47.67,48.31,47.53,2.56,2.3,28.14,30.56,40.44,44.4,55.05,58.91,2.35,2.59,0.27,-2.42,-3.96,-3.86,-0.24,9.11,92.48
"Ducks","ANA","18-19",82,3975.22,46.91,46.7,46.68,46.91,45.09,2.04,2.31,27.58,31.48,39.85,45.52,53.47,60.53,2.22,2.7,-0.27,-3.9,-5.68,-7.05,-0.48,7.4,92.66
"Coyotes","ARI","18-19",82,3961.85,45.65,49.81,49.42,48.92,49.98,1.99,2.37,30.03,30.26,41.85,42.84,56.52,59.02,2.34,2.34,-0.38,-0.23,-0.99,-2.49,0,6.62,92.18
"Bruins","BOS","18-19",82,3993.68,55.48,54.03,54.16,53.73,53.37,2.34,1.88,32.21,27.4,44.77,37.89,58.85,50.68,2.41,2.11,0.46,4.8,6.88,8.17,0.3,7.28,93.14
"Sabres","BUF","18-19",82,4031.53,45.25,48.9,49.33,49.4,47.55,2.27,2.74,31.42,32.83,42.95,44.11,55.31,56.65,2.2,2.43,-0.48,-1.41,-1.16,-1.34,-0.23,7.21,91.65
"Hurricanes","CAR","18-19",82,3967.82,51.82,54.87,55.12,55.21,55.64,2.41,2.24,33.9,27.88,48.81,39.75,64.96,52.71,3.01,2.4,0.17,6.02,9.06,12.26,0.61,7.11,91.97
"Blue Jackets","CBJ","18-19",82,4081.97,52.21,51.57,51.42,50.57,51.45,2.74,2.51,31.4,29.48,43.07,40.69,55.52,54.26,2.53,2.38,0.23,1.92,2.38,1.26,0.14,8.72,91.5
"Flames","CGY","18-19",82,3909.92,55.2,53.31,53.35,54.07,53.26,2.83,2.3,31.71,27.78,44.64,39.04,60.79,51.64,2.63,2.31,0.53,3.94,5.6,9.15,0.32,8.93,91.72
"Blackhawks","CHI","18-19",82,4032.9,49.85,48.23,48.21,49.1,45.7,2.71,2.73,31.61,33.93,41.54,44.62,56.81,58.89,2.33,2.77,-0.02,-2.32,-3.08,-2.07,-0.44,8.58,91.96
"Avalanche","COL","18-19",82,3849.8,50.31,50.98,50.41,49.94,49.85,2.41,2.38,31.9,30.67,42.49,41.8,57.47,57.61,2.32,2.33,0.03,1.23,0.68,-0.13,-0.01,7.56,92.23
"Stars","DAL","18-19",82,4025.42,50.55,48.94,48.29,48.16,50.35,2.02,1.97,29.35,30.62,39.45,42.25,53.86,57.97,2.35,2.32,0.04,-1.28,-2.8,-4.12,0.03,6.87,93.56
"Red Wings","DET","18-19",82,4029.57,45.2,45.57,45.78,46.54,44.36,2.18,2.64,27.78,33.18,38.41,45.5,51.66,59.34,2.15,2.7,-0.46,-5.4,-7.08,-7.68,-0.55,7.84,92.04
"Oilers","EDM","18-19",82,4034.92,44.54,47.14,47.34,47.52,46.8,2.14,2.67,28.12,31.54,38.76,43.12,52.31,57.78,2.27,2.58,-0.53,-3.42,-4.36,-5.47,-0.31,7.62,91.54
"Panthers","FLA","18-19",82,3974.03,46.28,50.58,50.01,49.44,47.79,2.44,2.83,31.1,30.39,42.18,42.16,55.03,56.28,2.3,2.51,-0.39,0.71,0.02,-1.25,-0.21,7.85,90.68
"Kings","L.A","18-19",82,4055.25,44.88,46.82,46.72,47.04,47.12,2.06,2.53,27.27,30.97,38.84,44.29,52.44,59.05,2.2,2.47,-0.47,-3.7,-5.45,-6.61,-0.27,7.55,91.84
"Wild","MIN","18-19",82,3969.03,47.62,52.44,51.47,50.52,53.86,2.12,2.33,31.18,28.28,42.98,40.52,57.06,55.89,2.34,2.01,-0.21,2.9,2.46,1.18,0.34,6.8,91.75
"Canadiens","MTL","18-19",82,3985.75,53.64,53.63,53.75,54.46,53.8,2.81,2.43,34.9,30.17,47.55,40.91,66.14,55.3,2.67,2.29,0.38,4.73,6.63,10.83,0.38,8.06,91.94
"Devils","N.J","18-19",82,3920.25,44.35,47.8,46.99,46.25,48.59,2.23,2.8,29.32,32.02,39.9,45.02,51.23,59.54,2.27,2.4,-0.57,-2.7,-5.11,-8.32,-0.13,7.6,91.26
"Predators","NSH","18-19",82,3909.7,53.8,52.13,52.35,52.27,50.81,2.52,2.16,32.71,30.04,45.23,41.16,59.88,54.68,2.5,2.42,0.36,2.67,4.06,5.21,0.08,7.7,92.8
"Islanders","NYI","18-19",82,4037.02,55.86,49.05,48.79,48.46,51.1,2.4,1.9,28.3,29.39,39.13,41.08,53.16,56.53,2.38,2.28,0.5,-1.1,-1.95,-3.38,0.1,8.48,93.55
"Rangers","NYR","18-19",82,3951.95,45.69,46.03,45.67,45.32,47.26,2.18,2.59,27.91,32.72,38.32,45.59,50.51,60.96,2.38,2.66,-0.41,-4.81,-7.26,-10.44,-0.28,7.8,92.1
"Senators","OTT","18-19",82,4059.93,43.67,44.7,44.78,44.1,46.23,2.5,3.23,28.53,35.3,39.45,48.65,52.31,66.31,2.31,2.68,-0.73,-6.77,-9.2,-14,-0.38,8.77,90.86
"Flyers","PHI","18-19",82,3970.08,46.38,47.49,48.04,47.47,48.48,2.49,2.87,29.42,32.53,40.67,44,54.81,60.65,2.35,2.5,-0.39,-3.11,-3.32,-5.84,-0.15,8.45,91.17
"Penguins","PIT","18-19",82,4033.25,54.96,50.98,50.88,50.64,52.35,2.72,2.23,33.12,31.84,44.66,43.13,59.44,57.94,2.65,2.41,0.49,1.28,1.54,1.5,0.24,8.21,93
"Sharks","S.J","18-19",82,3998.32,51.36,54.74,55.1,55.42,54.09,2.88,2.73,32.27,26.68,45.86,37.37,62.86,50.58,2.71,2.3,0.15,5.59,8.49,12.29,0.41,8.93,89.77
"Blues","STL","18-19",82,3988.47,53.25,52.93,52.55,52.11,54.04,2.5,2.2,31.15,27.71,42.37,38.25,56.64,52.06,2.57,2.19,0.31,3.45,4.12,4.58,0.38,8.03,92.08
"Lightning","T.B","18-19",82,3913.1,56.84,52.13,52.36,52.73,52.97,3.15,2.4,32.83,30.14,45.1,41.03,60.11,53.88,2.56,2.27,0.76,2.68,4.07,6.22,0.29,9.61,92.05
"Maple Leafs","TOR","18-19",82,4083.82,54.86,49.59,50.4,52.12,51.71,3.03,2.5,32.3,32.84,47.22,46.48,65.18,59.88,2.77,2.59,0.54,-0.54,0.74,5.31,0.18,9.4,92.39
"Canucks","VAN","18-19",82,3955.63,45.02,46.79,47.56,47.34,45.81,2.19,2.67,28.17,32.03,39.86,43.95,53.36,59.37,2.13,2.52,-0.48,-3.87,-4.09,-6.01,-0.39,7.76,91.66
"Golden Knights","VGK","18-19",82,4013.77,51.74,54.01,54.37,54.56,54.95,2.57,2.39,33.5,28.53,46.01,38.62,62.8,52.32,2.79,2.29,0.17,4.98,7.39,10.49,0.5,7.66,91.61
"Jets","WPG","18-19",82,3955.85,50.84,48.82,49.16,49.42,47.78,2.54,2.46,30.51,31.97,42.19,43.64,56.54,57.86,2.29,2.51,0.08,-1.47,-1.44,-1.33,-0.21,8.34,92.31
"Capitals","WSH","18-19",82,3935.85,55.39,49.56,49.57,49.79,47.46,3,2.42,30.12,30.65,42.76,43.49,57.56,58.04,2.41,2.67,0.58,-0.54,-0.73,-0.48,-0.26,9.97,92.11
